Software Name,Category,Platform,Features,User Ratings,Company Reputation,Release Year,Subscription Type,Market Demand Index,Competitor Pricing,Final Price
Software_1,Communication,Windows,31,3.9,9,2019,Monthly,96,215,372.46
Software_2,Analytics,Linux,21,4.5,8,2023,Monthly,98,658,578.31
Software_3,Productivity,Web,58,3.4,7,2020,One-time,93,440,503.46
Software_4,Accounting,Linux,65,5.0,6,2020,Yearly,94,628,641.12
Software_5,Gaming,Windows,23,3.1,7,2018,Yearly,50,473,343.3
Software_6,Graphics,Windows,19,3.3,8,2022,Yearly,57,47,149.36
Software_7,Graphics,Windows,67,3.7,6,2022,Monthly,66,37,230.76
Software_8,Development,Mac,60,3.0,6,2021,One-time,67,283,334.46
Software_9,Entertainment,Mac,60,3.0,10,2019,One-time,75,797,650.5
Software_10,Video Editing,Windows,50,4.1,7,2020,One-time,73,73,257.25
Software_11,Video Editing,Windows,24,3.3,8,2017,One-time,70,545,435.46
Software_12,Productivity,Linux,52,3.6,10,2024,Yearly,85,901,732.02
Software_13,Communication,Linux,53,3.9,8,2019,One-time,74,798,633.43
Software_14,Graphics,Mac,20,3.0,9,2019,One-time,85,486,436.8
Software_15,Communication,Web,49,4.3,8,2021,Monthly,77,86,286.94
Software_16,Video Editing,Windows,13,3.5,6,2015,One-time,99,26,198.33
Software_17,Education,Linux,33,4.4,8,2015,Yearly,96,940,739.57
Software_18,Communication,Linux,36,4.4,7,2018,One-time,55,762,532.8
Software_19,Entertainment,Windows,43,3.1,10,2023,Yearly,55,440,383.68
Software_20,Communication,Web,65,3.2,5,2024,Monthly,82,299,389.6
Software_21,Development,Windows,18,4.4,9,2023,One-time,100,457,485.3
Software_22,Development,Linux,66,3.4,9,2024,One-time,85,582,586.8
Software_23,Gaming,Windows,47,4.6,8,2023,One-time,66,206,313.67
Software_24,Security,Linux,16,4.5,6,2015,One-time,80,703,526.22
Software_25,Gaming,Web,20,4.9,7,2018,One-time,79,193,293.68
